ticket_id,created_at,sprint,language,ticket_type_pred,workflow_pred,area_of_emr_pred,confidence,flagged_for_review,review_reason,pii_entities_redacted,pii_escape,taxonomy_version,model_version
AVA-1041,2026-06-28T08:19:00,1,en,bug_report,reporting,pharmacy,0.938,0,,1,0,1.4.0,qwen3.5:9b
AVA-1042,2026-06-25T17:56:00,1,en,feature_request,orders_and_results,interoperability,0.75,0,,0,0,1.4.0,qwen3.5:9b
AVA-1043,2026-06-24T16:08:00,1,en,question,scheduling,clinical_documentation,0.875,0,,0,0,1.4.0,qwen3.5:9b
AVA-1044,2026-06-24T13:39:00,1,en,access_request,charting,pharmacy,0.739,0,,2,0,1.4.0,qwen3.5:9b
AVA-1045,2026-06-22T10:20:00,1,fr,access_request,billing,clinical_documentation,0.903,0,,4,0,1.4.0,qwen3.5:9b
AVA-1046,2026-06-23T13:27:00,1,en,feature_request,reporting,patient_portal,0.853,0,,0,0,1.4.0,qwen3.5:9b
AVA-1047,2026-06-28T10:48:00,1,en,bug_report,patient_intake,patient_portal,0.98,0,,1,0,1.4.0,qwen3.5:9b
AVA-1048,2026-06-26T17:52:00,1,en,bug_report,patient_intake,admin_console,0.801,0,,2,0,1.4.0,qwen3.5:9b
AVA-1049,2026-06-26T10:33:00,1,en,documentation,charting,clinical_documentation,0.923,0,,1,0,1.4.0,qwen3.5:9b
AVA-1050,2026-06-22T11:58:00,1,en,feature_request,charting,patient_portal,0.945,0,,1,0,1.4.0,qwen3.5:9b
AVA-1051,2026-06-27T15:09:00,1,en,bug_report,orders_and_results,lab_integration,0.949,0,,4,0,1.4.0,qwen3.5:9b
AVA-1052,2026-06-28T12:46:00,1,en,access_request,patient_intake,pharmacy,0.44,1,below_confidence_gate,1,0,1.4.0,qwen3.5:9b
AVA-1053,2026-06-22T13:11:00,1,en,documentation,reporting,admin_console,0.962,0,,2,0,1.4.0,qwen3.5:9b
AVA-1054,2026-06-28T14:35:00,1,en,feature_request,scheduling,patient_portal,0.736,0,,0,0,1.4.0,qwen3.5:9b
AVA-1055,2026-06-28T17:26:00,1,en,access_request,orders_and_results,clinical_documentation,0.821,0,,4,0,1.4.0,qwen3.5:9b
AVA-1056,2026-06-25T12:41:00,1,en,bug_report,reporting,interoperability,0.949,0,,0,0,1.4.0,qwen3.5:9b
AVA-1057,2026-06-23T11:06:00,1,fr,question,patient_intake,clinical_documentation,0.781,0,,0,0,1.4.0,qwen3.5:9b
AVA-1058,2026-06-25T08:15:00,1,en,feature_request,billing,pharmacy,0.811,0,,0,0,1.4.0,qwen3.5:9b
AVA-1059,2026-06-23T15:14:00,1,en,question,reporting,interoperability,0.798,0,,2,0,1.4.0,qwen3.5:9b
AVA-1060,2026-06-25T09:28:00,1,fr,bug_report,patient_intake,pharmacy,0.804,0,,1,0,1.4.0,qwen3.5:9b
AVA-1061,2026-06-26T07:17:00,1,en,bug_report,orders_and_results,lab_integration,0.964,0,,1,0,1.4.0,qwen3.5:9b
AVA-1062,2026-06-26T09:21:00,1,en,feature_request,orders_and_results,interoperability,0.951,0,,0,0,1.4.0,qwen3.5:9b
AVA-1063,2026-06-23T10:39:00,1,en,documentation,charting,interoperability,0.851,0,,2,0,1.4.0,qwen3.5:9b
AVA-1064,2026-06-22T07:45:00,1,fr,feature_request,charting,patient_portal,0.914,0,,1,0,1.4.0,qwen3.5:9b
AVA-1065,2026-06-25T16:17:00,1,en,question,scheduling,interoperability,0.745,0,,0,0,1.4.0,qwen3.5:9b
AVA-1066,2026-06-25T16:14:00,1,en,feature_request,reporting,lab_integration,0.733,0,,1,0,1.4.0,qwen3.5:9b
AVA-1067,2026-06-25T10:41:00,1,en,feature_request,billing,lab_integration,0.814,0,,0,0,1.4.0,qwen3.5:9b
AVA-1068,2026-06-23T12:57:00,1,en,question,patient_intake,interoperability,0.752,0,,0,0,1.4.0,qwen3.5:9b
AVA-1069,2026-06-27T12:31:00,1,en,question,orders_and_results,clinical_documentation,0.736,0,,2,0,1.4.0,qwen3.5:9b
AVA-1070,2026-06-25T14:03:00,1,en,question,charting,lab_integration,0.798,0,,1,0,1.4.0,qwen3.5:9b
AVA-1071,2026-06-23T13:23:00,1,en,question,charting,clinical_documentation,0.868,0,,2,0,1.4.0,qwen3.5:9b
AVA-1072,2026-06-25T08:06:00,1,en,feature_request,billing,pharmacy,0.892,0,,0,0,1.4.0,qwen3.5:9b
AVA-1073,2026-06-22T11:51:00,1,fr,question,patient_intake,interoperability,0.963,0,,0,0,1.4.0,qwen3.5:9b
AVA-1074,2026-06-27T08:28:00,1,en,bug_report,scheduling,clinical_documentation,0.382,1,below_confidence_gate,2,0,1.4.0,qwen3.5:9b
